Datum,quirion,fintego,easyfolio,MSCI ACWI
2015-05-31,0.012,0.004,0.003,0.017330112
2015-06-30,-0.026,-0.035,-0.030,-0.034895726
2015-07-31,0.007,0.014,0.009,0.017222935
2015-08-31,-0.040,-0.044,-0.050,-0.084235987
2015-09-30,-0.024,-0.012,-0.018,-0.035025264
2015-10-31,0.049,0.046,0.049,0.094728073
2015-11-30,0.015,0.016,0.020,0.037069247
2015-12-31,-0.025,-0.035,-0.032,-0.042662474
2016-01-31,-0.041,-0.023,-0.029,-0.066352787
2016-02-29,0.009,0.002,0.001,0.004104609
2016-03-31,0.023,0.016,0.018,0.018103247
2016-04-30,0.008,0.011,0.006,0.00630951
2016-05-31,0.009,0.010,0.011,0.03625171
2016-06-30,-0.005,0.005,0.005,-0.00440044
2016-07-31,0.027,0.026,0.024,0.038563536
2016-08-31,0.004,-0.002,0.005,0.007341207
2016-09-30,-0.002,0.004,0.000,0.004647233
2016-10-31,0.001,-0.008,0.001,0.0058873
2016-11-30,0.022,0.011,0.005,0.049853679
2016-12-31,0.015,0.013,0.013,0.024290692
2017-01-31,0.001,-0.003,-0.004,-0.00495675
2017-02-28,0.022,0.028,0.026,0.050693495
2017-03-31,-0.002,-0.002,0.005,0.006414428
2017-04-30,0.002,-0.004,-0.001,-0.005911694
2017-05-31,-0.006,-0.001,-0.004,-0.015145884
2017-06-30,-0.006,-0.015,-0.009,-0.006510048
2017-07-31,0.001,0.001,-0.001,-0.007407407
2017-08-31,-0.005,0.003,0.000,-0.006505932
2017-09-30,0.012,0.009,0.009,0.029372111
2017-10-31,0.017,0.022,0.020,0.031621293
2017-11-30,-0.001,0.000,-0.017,-0.003536773
2017-12-31,-0.006,-0.023,0.001,0.015562432
2018-01-31,0.006,0.003,0.000,0.013352451
2018-02-28,-0.009,-0.011,-0.011,-0.017686594
2018-03-31,-0.017,-0.008,-0.012,-0.036010083
2018-04-30,0.017,0.014,0.011,0.035674262
2018-05-31,0.013,0.016,0.008,0.033724076
2018-06-30,-0.006,-0.003,-0.010,-0.002704117
2018-07-31,0.012,0.007,0.013,0.022303857
2018-08-31,0.003,0.005,-0.006,0.014887064
2018-09-30,0.001,0.005,0.002,0.005058169
2018-10-31,-0.030,-0.026,-0.029,-0.054017782
2018-11-30,0.003,0.005,0.010,0.006738783
2018-12-31,-0.042,-0.042,-0.036,-0.083142505
2019-01-31,0.044,0.041,0.045,0.081652257
2019-02-28,0.017,0.018,0.011,0.035523979
2019-03-31,0.004,0.022,0.019,0.021955403
2019-04-30,0.017,0.016,0.015,0.033736153
2019-05-31,-0.033,-0.023,-0.027,-0.052443579
2019-06-30,0.023,0.023,0.026,0.037525703
2019-07-31,0.014,0.019,0.018,0.035672998
2019-08-31,-0.012,0.004,-0.010,-0.021368203
2019-09-30,0.019,0.010,0.019,0.030307968
2019-10-31,0.001,-0.002,0.000,0.000790764
2019-11-30,0.020,0.015,0.016,0.042351454
2019-12-31,0.011,-0.005,0.009,0.023044269
2020-01-31,-0.001,0.010,-0.003,-0.006965027
2020-02-29,-0.039,-0.039,-0.027,-0.082375765
2020-03-31,-0.107,-0.087,-0.114,-0.121157912
2020-04-30,0.059,0.059,0.073,0.099925981
2020-05-31,0.010,0.014,0.008,0.015814266
2020-06-30,0.014,0.014,0.008,0.021199073
2020-07-31,-0.006,0.005,0.011,-0.000486539
2020-08-31,0.025,0.028,0.018,0.055330196
2020-09-30,-0.005,-0.007,-0.010,-0.008302583
2020-10-31,-0.009,-0.006,0.000,-0.022790698
2020-11-30,0.049,0.047,0.049,0.097572584
2020-12-31,0.012,0.007,-0.002,0.028042787
2021-01-31,0.008,0.001,0.017,0.011951631
2021-02-28,0.013,-0.011,-0.005,0.028345144
2021-03-31,0.033,0.019,0.016,0.057694906
2021-04-30,0.001,0.008,0.002,0.013541134